File,RelativePath,Folder,ImageQuality,DeleteFlag,Tagger,Species1,NumIndividual1,Species2,NumIndividual2,Notes,HumanType,ImageIssue,IllegalAct,UNID,SavePic,DateTime,CameraNumber,Property,
RCNX0189.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,2,,0,,,,false,false,false, 2020-07-13 09:48:10,1,WVWA,
RCNX0190.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-13 13:03:12,1,WVWA,
RCNX0191.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,2,,0,,,,false,false,false, 2020-07-13 20:41:56,1,WVWA,
RCNX0192.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,western grey squirrel,1,,0,,,,false,false,false, 2020-07-14 09:58:44,1,WVWA,
RCNX0193.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-14 12:26:04,1,WVWA,
RCNX0194.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-14 12:34:00,1,WVWA,
RCNX0195.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-14 12:45:52,1,WVWA,
RCNX0196.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-14 12:46:08,1,WVWA,
RCNX0197.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-14 20:13:38,1,WVWA,
RCNX0198.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,striped skunk,1,,0,,,,false,false,false, 2020-07-14 23:57:48,1,WVWA,
RCNX0199.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-15 20:11:54,1,WVWA,
RCNX0200.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-16 02:39:10,1,WVWA,
RCNX0201.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-16 17:22:10,1,WVWA,
RCNX0202.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-17 12:29:08,1,WVWA,
RCNX0203.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-17 18:53:46,1,WVWA,
RCNX0204.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-18 20:48:44,1,WVWA,
RCNX0205.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-19 12:18:22,1,WVWA,
RCNX0206.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-19 12:40:18,1,WVWA,
RCNX0207.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-19 12:59:06,1,WVWA,
RCNX0208.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-19 20:12:10,1,WVWA,
RCNX0209.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,,0,,public,,false,false,false, 2020-07-20 09:35:14,1,WVWA,
RCNX0210.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,,0,,public,,false,false,false, 2020-07-21 11:48:46,1,WVWA,
RCNX0211.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,,0,,public,,false,false,false, 2020-07-21 11:52:40,1,WVWA,
RCNX0212.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-21 20:20:44,1,WVWA,
RCNX0213.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,2,,0,,,,false,false,false, 2020-07-23 05:51:00,1,WVWA,
RCNX0214.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,quail/pheasant,6,,0,,,,false,false,false, 2020-07-23 10:21:30,1,WVWA,
RCNX0215.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,,0,,public,,false,false,false, 2020-07-23 13:47:32,1,WVWA,
RCNX0216.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-23 13:47:52,1,WVWA,
RCNX0217.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-23 13:48:08,1,WVWA,
RCNX0218.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-23 13:49:32,1,WVWA,
RCNX0219.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-23 13:50:32,1,WVWA,
RCNX0220.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-23 13:50:50,1,WVWA,
RCNX0221.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-23 13:51:06,1,WVWA,
RCNX0222.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,,0,,,,false,false,false, 2020-07-23 13:55:14,1,WVWA,
RCNX0223.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,2,,0,,,,false,false,false, 2020-07-24 05:42:20,1,WVWA,
RCNX0224.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,2,,0,,,,false,false,false, 2020-07-24 07:09:14,1,WVWA,
RCNX0225.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,2,,0,,,,false,false,false, 2020-07-24 09:16:46,1,WVWA,
RCNX0226.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-24 12:41:44,1,WVWA,
RCNX0227.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-24 20:16:20,1,WVWA,
RCNX0228.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-24 21:03:14,1,WVWA,
RCNX0229.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-25 12:26:28,1,WVWA,
RCNX0230.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-25 15:27:46,1,WVWA,
RCNX0231.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,Deer at vey beginning of video,,,false,false,false, 2020-07-25 18:42:18,1,WVWA,
RCNX0232.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-26 07:19:38,1,WVWA,
RCNX0233.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,bobcat,1,,0,,,,false,false,false, 2020-07-26 07:28:10,1,WVWA,
RCNX0234.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,bobcat,1,,0,,,,false,false,false, 2020-07-26 07:28:34,1,WVWA,
RCNX0235.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-27 12:20:46,1,WVWA,
RCNX0236.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,raccoon,1,,0,,,,false,false,false, 2020-07-27 21:32:24,1,WVWA,
RCNX0237.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,human,2,,public,,false,false,false, 2020-07-28 10:08:36,1,WVWA,
RCNX0238.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,,0,,public,,false,false,false, 2020-07-28 10:08:50,1,WVWA,
RCNX0239.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,human,2,,,,false,false,false, 2020-07-28 10:09:06,1,WVWA,
RCNX0240.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,human,2,,,,false,false,false, 2020-07-28 10:15:16,1,WVWA,
RCNX0241.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,human,2,,,,false,false,false, 2020-07-28 10:18:16,1,WVWA,
RCNX0242.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,human,2,,,,false,false,false, 2020-07-28 10:18:34,1,WVWA,
RCNX0243.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,human,2,,,,false,false,false, 2020-07-28 10:18:48,1,WVWA,
RCNX0244.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,ATV/OHV,1,human,2,,,,false,false,false, 2020-07-28 10:35:08,1,WVWA,
RCNX0245.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,2,,0,,,,false,false,false, 2020-07-29 07:00:04,1,WVWA,
RCNX0246.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-29 07:00:26,1,WVWA,
RCNX0247.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-29 07:00:46,1,WVWA,
